element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support
Fe 1	5466.987	546.6987	-2.230	3.5730	28818.174	5.0	5.8410	47110.843	4.0	9.0	1.000	0.880	GA	3.31E+07	7.520	-5.820	-7.820	-7.820	-7.820	1.000	0.490	32.690	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Co 1	5483.352	548.3352	-1.490	1.7104	13795.300	2.5	3.9710	32028.275	3.5	8.0	1.600	1.400	AO	7.94E+07	7.900	-6.180	291.259	-7.673	291.259	1.000	0.580	40.550	s	p	F	0	1	27.0	27.0	27.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ti 1	5490.150	549.0150	-0.933	1.4600	11775.688	4.0	3.7180	29987.693	3.0	7.0	1.260	1.490	AO	1.51E+08	8.180	-6.100	374.262	-7.564	374.262	1.000	0.390	25.210	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ca 1	5512.980	551.2980	-0.464	2.9330	23656.229	1.0	5.1810	41787.583	0.0	1.0	1.000	0.000	GA	2.80E+08	8.447	-4.053	-7.316	-7.316	-7.316	1.000	0.680	89.700	s	p	F	0	1	20.0	20.0	20.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5522.446	552.2446	-1.310	4.2090	33947.858	2.0	6.4530	52046.955	2.0	5.0	1.490	1.570	AO	1.05E+08	8.020	-5.570	744.215	-7.257	744.215	1.000	0.500	37.660	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5546.506	554.6506	-1.180	4.3710	35254.475	4.0	6.6060	53280.984	5.0	11.0	1.100	1.220	AO	2.04E+08	8.310	-5.060	825.278	-7.224	825.278	1.000	0.520	42.240	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5560.211	556.0211	-1.160	4.4340	35762.604	4.0	6.6640	53748.785	3.0	7.0	1.100	1.260	AO	1.91E+08	8.280	-4.240	895.278	-7.189	895.278	1.000	0.540	45.660	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ca 1	5581.965	558.1965	-0.555	2.5229	20348.551	2.0	4.7440	38262.941	3.0	7.0	1.160	1.330	AO	7.13E+07	7.853	-6.072	400.282	-7.538	400.282	1.000	0.710	96.080	s	p	F	0	1	20.0	20.0	20.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ni 1	5589.358	558.9358	-1.140	3.8980	31439.475	2.0	6.1160	49328.867	2.0	5.0	1.060	1.000	AO	1.55E+08	8.190	-4.540	831.277	-7.221	831.277	1.000	0.390	27.840	p	d	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ca 1	5590.114	559.0114	-0.571	2.5210	20333.226	1.0	4.7390	38222.613	2.0	5.0	0.500	1.170	AO	7.11E+07	7.852	-6.071	399.282	-7.539	399.282	1.000	0.710	95.220	s	p	F	0	1	20.0	20.0	20.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5618.633	561.8633	-1.276	4.2090	33947.858	2.0	6.4150	51740.465	2.0	5.0	1.490	1.130	AO	1.55E+08	8.190	-5.570	732.214	-7.264	732.214	1.000	0.580	51.850	p	s	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5638.262	563.8262	-0.810	4.2200	34036.579	4.0	6.4190	51772.727	3.0	7.0	1.340	1.490	AO	2.40E+08	8.380	-5.340	730.235	-7.269	730.235	1.000	0.660	73.770	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
